"";"medicion";"Sede";"Aspecto";"Valor"
"1";"2018-2";"Concepción";"Horarios";0,333333333333333
"2";"2018-2";"Rancagua";"Horarios";0,712121212121212
"3";"2018-2";"Santiago";"Horarios";0,243478260869565
"4";"2018-2";"Temuco";"Horarios";0,166666666666667
"5";"2018-2";"Viña del Mar";"Horarios";0,390625
"6";"2018-2";"Concepción";"Infraestructura";0,8
"7";"2018-2";"Rancagua";"Infraestructura";0,454545454545455
"8";"2018-2";"Santiago";"Infraestructura";0,460869565217391
"9";"2018-2";"Temuco";"Infraestructura";0,666666666666667
"10";"2018-2";"Viña del Mar";"Infraestructura";0,53125
"11";"2018-2";"Concepción";"MásVariedad";0,488888888888889
"12";"2018-2";"Rancagua";"MásVariedad";0,363636363636364
"13";"2018-2";"Santiago";"MásVariedad";0,460869565217391
"14";"2018-2";"Temuco";"MásVariedad";0,383333333333333
"15";"2018-2";"Viña del Mar";"MásVariedad";0,484375
